,member
795,78
796,301
797,301
798,301
799,311
800,1968
801,1968
802,250
803,266
804,266
805,266
806,266
807,266
808,266
809,266
810,266
811,311
812,311
813,311
814,311
815,311
816,297
817,297
818,297
819,297
820,297
821,297
822,297
823,297
824,297
825,297
826,297
827,297
828,297
829,297
830,301
831,301
832,301
833,301
834,301
835,1965
836,297
837,219
838,219
839,219
840,219
841,219
842,219
843,219
844,219
845,219
846,219
847,219
848,219
849,219
850,219
851,219
852,219
853,219
854,1352
855,1352
856,1352
857,1352
858,1352
859,1352
860,1352
861,1352
862,1352
863,1352
864,1352
865,1352
866,1352
867,1352
868,1352
869,1352
870,1352
871,1352
872,1352
873,1352
874,1352
875,1352
876,1352
877,1352
878,1352
879,1352
880,1352
881,1352
882,1352
883,1352
884,1352
885,1352
886,1352
887,297
888,137
889,297
890,311
891,301
892,301
893,301
894,374
895,263
896,263
897,263
898,263
899,263
900,263
901,263
902,263
903,263
904,263
905,263
906,263
907,263
908,263
909,263
910,263
911,263
912,263
913,297
914,297
915,316
916,316
917,316
918,316
919,316
920,316
921,316
922,316
923,316
924,316
925,316
926,316
927,316
928,316
929,316
930,316
931,316
932,316
933,316
934,316
935,316
936,316
937,316
938,297
939,297
940,297
941,297
942,297
943,297
944,297
945,137
946,137
947,137
948,137
949,137
950,137
951,7822
952,137
953,137
954,137
955,137
956,137
957,137
958,137
959,137
960,137
961,137
962,137
963,137
964,137
965,137
966,137
967,137
968,137
969,78
970,78
971,78
972,78
973,78
974,78
975,78
976,78
977,78
978,78
979,78
980,78
981,78
982,78
983,78
984,78
985,78
986,78
987,78
988,78
989,78
990,78
991,78
992,78
993,78
994,78
995,78
996,78
997,78
998,78
999,78
1000,78
1001,78
1002,78
1003,78
1004,78
1005,78
1006,78
1007,78
1008,78
1009,78
1010,78
1011,78
1012,78
1013,78
1014,78
1015,78
1016,78
1017,78
1018,78
1019,78
1020,78
1021,78
1022,311
1023,297
1024,311
1025,311
1026,
1027,78
1028,311
1029,78
1030,378
1031,78
1032,78
1033,78
1034,78
1035,78
1036,78
1037,78
1038,78
1039,78
1040,286
1041,378
1042,250
1043,297
1044,297
1045,297
1046,297
1047,297
1048,219
1049,219
1050,219
1051,219
1052,219
1053,219
1054,219
1055,378
1056,378
1057,378
1058,311
1059,301
1060,219
1061,78
1062,78
1063,78
1064,78
1065,78
1066,297
1067,301
1068,56
1069,297
1070,297
1071,297
1072,1253
1073,1253
1074,328
1075,328
1076,328
1077,328
1078,328
1079,328
1080,328
1081,328
1082,328
1083,328
1084,328
1085,328
1086,328
1087,328
1088,328
1089,266
1090,266
1091,266
1092,266
1093,266
1094,328
1095,328
1096,328
1097,328
1098,328
1099,328
1100,328
1101,328
1102,328
1103,328
1104,328
1105,328
1106,328
1107,328
1108,328
1109,328
1110,328
1111,328
1112,328
1113,328
1114,328
1115,328
1116,328
1117,328
1118,328
1119,328
1120,328
1121,328
1122,328
1123,328
1124,328
1125,328
1126,328
1127,328
1128,328
1129,328
1130,137
1131,137
1132,137
1133,137
1134,2265
1135,297
1136,297
1137,297
1138,297
1139,78
1140,78
1141,78
1142,78
1143,78
1144,78
1145,78
1146,78
1147,78
1148,78
1149,78
1150,78
1151,78
1152,78
1153,78
1154,78
1155,78
1156,78
1157,78
1158,78
1159,78
1160,78
1161,78
1162,78
1163,78
1164,78
1165,78
1166,78
1167,78
1168,78
1169,78
1170,78
1171,78
1172,78
1173,78
1174,78
