,type
12898,article-journal
12899,article-journal
12900,article-journal
12901,article-journal
12902,article-journal
12903,article-journal
12904,article-journal
12905,article-journal
12906,article-journal
12907,article-journal
12908,article-journal
12909,article-journal
12910,article-journal
12911,article-journal
12912,article-journal
12913,article-journal
12914,article-journal
12915,article-journal
12916,article-journal
12917,article-journal
12918,article-journal
12919,article-journal
12920,article-journal
12921,article-journal
12922,article-journal
12923,article-journal
12924,article-journal
12925,article-journal
12926,article-journal
12927,article-journal
12928,article-journal
12929,article-journal
12930,article-journal
12931,article-journal
12932,article-journal
12933,article-journal
12934,article-journal
12935,article-journal
12936,article-journal
12937,article-journal
12938,article-journal
12939,article-journal
12940,article-journal
12941,article-journal
12942,article-journal
12943,article-journal
12944,article-journal
12945,article-journal
12946,article-journal
12947,article-journal
12948,article-journal
12949,article-journal
12950,article-journal
12951,article-journal
12952,article-journal
12953,article-journal
12954,article-journal
12955,article-journal
12956,article-journal
12957,paper-conference
12958,article-journal
12959,article-journal
12960,article-journal
12961,article-journal
12962,article-journal
12963,article-journal
12964,article-journal
12965,article-journal
12966,article-journal
12967,article-journal
12968,article-journal
12969,article-journal
12970,article-journal
12971,article-journal
12972,article-journal
12973,article-journal
12974,article-journal
12975,article-journal
12976,article-journal
12977,article-journal
12978,article-journal
12979,article-journal
12980,article-journal
12981,article-journal
12982,chapter
12983,article-journal
12984,article-journal
12985,article-journal
12986,article-journal
12987,article-journal
12988,article-journal
12989,article-journal
12990,article-journal
12991,article-journal
12992,article-journal
12993,article-journal
12994,article-journal
12995,article-journal
12996,article-journal
12997,article-journal
12998,article-journal
12999,article-journal
13000,article-journal
13001,article-journal
13002,article-journal
13003,article-journal
13004,article-journal
13005,article-journal
13006,article-journal
13007,article-journal
13008,article-journal
13009,article-journal
13010,article-journal
13011,article-journal
13012,article-journal
13013,article-journal
13014,article-journal
13015,article-journal
13016,article-journal
13017,article-journal
13018,article-journal
13019,article-journal
13020,article-journal
13021,article-journal
13022,article-journal
13023,article-journal
13024,article-journal
13025,article-journal
13026,article-journal
13027,article-journal
13028,article-journal
13029,article-journal
13030,article-journal
13031,article-journal
13032,article-journal
13033,article-journal
13034,article-journal
13035,article-journal
13036,article-journal
13037,article-journal
13038,article-journal
13039,article-journal
13040,article-journal
13041,article-journal
13042,article-journal
13043,article-journal
13044,article-journal
13045,article-journal
13046,article-journal
13047,article-journal
13048,article-journal
13049,article-journal
13050,article-journal
13051,article-journal
13052,article-journal
13053,article-journal
13054,article-journal
13055,article-journal
13056,article-journal
13057,article-journal
13058,article-journal
13059,article-journal
13060,article-journal
13061,article-journal
13062,article-journal
13063,article-journal
13064,article-journal
13065,article-journal
13066,article-journal
13067,article-journal
13068,article-journal
13069,article-journal
13070,article-journal
13071,paper-conference
13072,article-journal
13073,chapter
13074,article-journal
13075,article-journal
13076,article-journal
13077,article-journal
13078,article-journal
13079,article-journal
13080,article-journal
13081,article-journal
13082,article-journal
13083,article-journal
13084,article-journal
13085,article-journal
13086,article-journal
13087,article-journal
13088,paper-conference
13089,article-journal
13090,article-journal
13091,article-journal
13092,article-journal
13093,article-journal
13094,article-journal
13095,article-journal
13096,article-journal
13097,article-journal
13098,article-journal
13099,article-journal
13100,article-journal
13101,book
13102,chapter
13103,article-journal
13104,article-journal
13105,article-journal
13106,article-journal
13107,article-journal
13108,article-journal
13109,article-journal
13110,article-journal
13111,article-journal
13112,article-journal
13113,article-journal
13114,article-journal
13115,article-journal
13116,article-journal
13117,article-journal
13118,article-journal
13119,article-journal
13120,article-journal
13121,article-journal
13122,article-journal
13123,article-journal
13124,article-journal
13125,article-journal
13126,article-journal
13127,article-journal
13128,article-journal
13129,article-journal
13130,article-journal
13131,article-journal
13132,article-journal
13133,article-journal
13134,article-journal
13135,article-journal
13136,article-journal
13137,article-journal
13138,article-journal
13139,article-journal
13140,article-journal
13141,article-journal
13142,article-journal
13143,article-journal
13144,article-journal
13145,article-journal
13146,article-journal
13147,article-journal
13148,article-journal
13149,article-journal
13150,article-journal
13151,article-journal
13152,article-journal
13153,article-journal
13154,article-journal
13155,article-journal
13156,article-journal
13157,article-journal
13158,article-journal
13159,article-journal
13160,article-journal
13161,article-journal
13162,article-journal
13163,article-journal
13164,article-journal
13165,article-journal
13166,article-journal
13167,article-journal
13168,article-journal
13169,article-journal
13170,article-journal
13171,article-journal
13172,article-journal
13173,article-journal
13174,article-journal
13175,article-journal
13176,article-journal
13177,article-journal
13178,article-journal
13179,article-journal
13180,article-journal
13181,article-journal
13182,article-journal
13183,article-journal
13184,article-journal
13185,article-journal
13186,article-journal
13187,article-journal
13188,article-journal
13189,article-journal
13190,article-journal
13191,article-journal
13192,article-journal
13193,article-journal
13194,article-journal
13195,article-journal
13196,article-journal
13197,article-journal
13198,article-journal
13199,article-journal
13200,article-journal
13201,article-journal
13202,article-journal
13203,article-journal
13204,article-journal
13205,article-journal
13206,article-journal
13207,article-journal
13208,article-journal
13209,article-journal
13210,article-journal
13211,article-journal
13212,article-journal
13213,article-journal
13214,article-journal
13215,article-journal
13216,article-journal
13217,article-journal
13218,article-journal
13219,article-journal
13220,article-journal
13221,article-journal
13222,article-journal
13223,article-journal
13224,article-journal
13225,article-journal
13226,article-journal
13227,article-journal
13228,article-journal
13229,article-journal
13230,article-journal
13231,article-journal
13232,article-journal
13233,article-journal
13234,article-journal
13235,article-journal
13236,article-journal
13237,article-journal
13238,article-journal
13239,article-journal
13240,article-journal
13241,article-journal
13242,article-journal
13243,article-journal
13244,article-journal
13245,article-journal
13246,article-journal
13247,article-journal
13248,article-journal
13249,article-journal
13250,article-journal
13251,article-journal
13252,article-journal
13253,article-journal
13254,article-journal
13255,article-journal
13256,article-journal
13257,article-journal
13258,article-journal
13259,article-journal
13260,article-journal
13261,article-journal
13262,article-journal
13263,article-journal
13264,article-journal
13265,article-journal
13266,article-journal
13267,article-journal
13268,article-journal
13269,article-journal
13270,article-journal
13271,article-journal
13272,article-journal
13273,article-journal
13274,article-journal
13275,article-journal
13276,article-journal
13277,article-journal
13278,article-journal
13279,article-journal
13280,article-journal
13281,article-journal
13282,article-journal
13283,article-journal
13284,article-journal
13285,article-journal
13286,article-journal
13287,article-journal
13288,article-journal
13289,article-journal
13290,article-journal
13291,article-journal
13292,article-journal
13293,article-journal
13294,article-journal
13295,article-journal
13296,article-journal
13297,article-journal
13298,article-journal
13299,article-journal
13300,article-journal
13301,article-journal
13302,article-journal
13303,article-journal
13304,article-journal
13305,article-journal
13306,article-journal
13307,article-journal
13308,article-journal
13309,article-journal
13310,article-journal
13311,article-journal
13312,chapter
13313,article-journal
13314,article-journal
13315,article-journal
13316,article-journal
13317,article-journal
13318,article-journal
13319,article-journal
13320,article-journal
13321,article-journal
13322,article-journal
13323,article-journal
13324,article-journal
13325,article-journal
13326,article-journal
13327,article-journal
13328,article-journal
13329,article-journal
13330,article-journal
13331,article-journal
13332,article-journal
13333,article-journal
13334,article-journal
13335,article-journal
13336,article-journal
13337,article-journal
13338,article-journal
13339,article-journal
13340,article-journal
13341,article-journal
13342,article-journal
13343,article-journal
13344,article-journal
13345,article-journal
13346,article-journal
13347,article-journal
13348,article-journal
13349,article-journal
13350,article-journal
13351,article-journal
13352,article-journal
13353,article-journal
13354,article-journal
13355,article-journal
13356,article-journal
13357,article-journal
13358,article-journal
13359,article-journal
13360,article-journal
13361,article-journal
13362,article-journal
13363,article-journal
13364,article-journal
13365,article-journal
13366,article-journal
13367,article-journal
13368,article-journal
13369,article-journal
13370,article-journal
13371,article-journal
13372,article-journal
13373,article-journal
13374,article-journal
13375,article-journal
13376,article-journal
13377,article-journal
13378,article-journal
13379,article-journal
13380,article-journal
13381,article-journal
13382,article-journal
13383,article-journal
13384,article-journal
13385,article-journal
13386,article-journal
13387,article-journal
13388,article-journal
13389,article-journal
13390,article-journal
13391,article-journal
13392,article-journal
13393,chapter
13394,chapter
13395,article-journal
13396,article-journal
13397,article-journal
13398,article-journal
13399,article-journal
13400,article-journal
13401,article-journal
13402,article-journal
13403,article-journal
13404,article-journal
13405,article-journal
13406,article-journal
13407,article-journal
13408,article-journal
13409,article-journal
13410,article-journal
13411,article-journal
13412,article-journal
13413,article-journal
13414,article-journal
13415,article-journal
13416,article-journal
13417,article-journal
13418,article-journal
13419,article-journal
13420,article-journal
13421,article-journal
13422,article-journal
13423,article-journal
13424,article-journal
13425,article-journal
13426,article-journal
13427,article-journal
13428,article-journal
13429,article-journal
13430,article-journal
13431,article-journal
13432,article-journal
13433,article-journal
13434,article-journal
13435,article-journal
13436,article-journal
13437,article-journal
13438,article-journal
13439,article-journal
13440,article-journal
13441,article-journal
13442,article-journal
13443,article-journal
13444,article-journal
13445,article-journal
13446,article-journal
13447,article-journal
13448,article-journal
13449,article-journal
13450,article-journal
13451,article-journal
13452,article-journal
13453,article-journal
13454,article-journal
13455,article-journal
13456,article-journal
13457,article-journal
13458,article-journal
13459,article-journal
13460,article-journal
13461,article-journal
13462,article-journal
13463,article-journal
13464,article-journal
13465,article-journal
13466,article-journal
13467,article-journal
13468,article-journal
13469,article-journal
13470,article-journal
13471,chapter
13472,article-journal
13473,article-journal
13474,article-journal
13475,article-journal
13476,article-journal
13477,article-journal
13478,article-journal
13479,article-journal
13480,article-journal
13481,article-journal
13482,article-journal
13483,article-journal
13484,article-journal
13485,article-journal
13486,article-journal
13487,article-journal
13488,article-journal
13489,article-journal
13490,article-journal
13491,article-journal
13492,article-journal
13493,article-journal
13494,article-journal
13495,chapter
13496,chapter
13497,article-journal
13498,article-journal
13499,article-journal
13500,article-journal
13501,article-journal
13502,article-journal
13503,article-journal
13504,article-journal
13505,article-journal
13506,article-journal
13507,article-journal
13508,article-journal
13509,article-journal
13510,article-journal
13511,article-journal
13512,article-journal
13513,article-journal
13514,article-journal
13515,article-journal
13516,article-journal
13517,article-journal
13518,article-journal
13519,article-journal
13520,article-journal
13521,article-journal
13522,article-journal
13523,article-journal
13524,article-journal
13525,article-journal
13526,article-journal
13527,article-journal
13528,article-journal
13529,article-journal
13530,article-journal
13531,article-journal
13532,article-journal
13533,article-journal
13534,article-journal
13535,article-journal
13536,article-journal
13537,article-journal
13538,article-journal
13539,article-journal
13540,article-journal
13541,article-journal
13542,article-journal
13543,article-journal
13544,article-journal
13545,article-journal
13546,article-journal
13547,paper-conference
13548,article-journal
13549,article-journal
13550,article-journal
13551,article-journal
13552,article-journal
13553,article-journal
13554,article-journal
13555,article-journal
13556,article-journal
13557,article-journal
13558,article-journal
13559,article-journal
13560,article-journal
13561,article-journal
13562,article-journal
13563,article-journal
13564,article-journal
13565,article-journal
13566,article-journal
13567,article-journal
13568,article-journal
13569,article-journal
13570,article-journal
13571,article-journal
13572,article-journal
13573,article-journal
13574,article-journal
13575,article-journal
13576,article-journal
13577,article-journal
13578,article-journal
13579,article-journal
13580,article-journal
13581,article-journal
13582,article-journal
13583,article-journal
13584,article-journal
13585,article-journal
13586,article-journal
13587,chapter
13588,chapter
13589,article-journal
13590,chapter
13591,article-journal
13592,article-journal
13593,article-journal
13594,article-journal
13595,article-journal
13596,article-journal
13597,article-journal
13598,article-journal
13599,article-journal
13600,article-journal
13601,article-journal
13602,article-journal
13603,article-journal
13604,article-journal
13605,article-journal
13606,article-journal
13607,article-journal
13608,article-journal
13609,article-journal
13610,article-journal
13611,article-journal
13612,article-journal
13613,article-journal
13614,article-journal
13615,article-journal
13616,article-journal
13617,article-journal
13618,article-journal
13619,article-journal
13620,article-journal
13621,article-journal
13622,article-journal
13623,article-journal
13624,article-journal
13625,article-journal
13626,article-journal
13627,article-journal
13628,article-journal
13629,article-journal
13630,article-journal
13631,article-journal
13632,article-journal
13633,article-journal
13634,article-journal
13635,article-journal
13636,article-journal
13637,article-journal
13638,article-journal
13639,article-journal
13640,article-journal
13641,article-journal
13642,article-journal
13643,article-journal
13644,article-journal
13645,article-journal
13646,article-journal
13647,article-journal
13648,article-journal
13649,article-journal
13650,article-journal
13651,article-journal
13652,article-journal
13653,article-journal
13654,article-journal
13655,article-journal
13656,article-journal
13657,article-journal
13658,article-journal
13659,article-journal
13660,article-journal
13661,article-journal
13662,article-journal
13663,article-journal
13664,article-journal
13665,article-journal
13666,article-journal
13667,article-journal
13668,article-journal
13669,article-journal
13670,article-journal
13671,article-journal
13672,article-journal
13673,article-journal
13674,article-journal
13675,article-journal
13676,article-journal
13677,article-journal
13678,article-journal
13679,article-journal
13680,article-journal
13681,article-journal
13682,article-journal
13683,article-journal
13684,article-journal
13685,article-journal
13686,article-journal
13687,article-journal
13688,article-journal
13689,article-journal
13690,article-journal
13691,article-journal
13692,article-journal
13693,article-journal
13694,article-journal
13695,article-journal
13696,article-journal
13697,article-journal
13698,article-journal
13699,article-journal
13700,article-journal
13701,article-journal
13702,article-journal
13703,article-journal
13704,article-journal
13705,article-journal
13706,article-journal
13707,article-journal
13708,article-journal
13709,article-journal
13710,article-journal
13711,article-journal
13712,article-journal
13713,article-journal
13714,article-journal
13715,article-journal
13716,article-journal
13717,article-journal
13718,article-journal
13719,article-journal
13720,article-journal
13721,article-journal
13722,article-journal
13723,article-journal
13724,article-journal
13725,article-journal
13726,article-journal
13727,article-journal
13728,article-journal
13729,article-journal
13730,article-journal
13731,article-journal
13732,article-journal
13733,article-journal
13734,article-journal
13735,article-journal
13736,article-journal
13737,article-journal
13738,article-journal
13739,article-journal
13740,article-journal
13741,article-journal
13742,article-journal
13743,article-journal
13744,article-journal
13745,article-journal
13746,article-journal
13747,article-journal
13748,article-journal
13749,article-journal
13750,article-journal
13751,article-journal
13752,article-journal
13753,article-journal
13754,article-journal
13755,article-journal
13756,article-journal
13757,article-journal
13758,article-journal
13759,article-journal
13760,article-journal
13761,article-journal
13762,article-journal
13763,article-journal
13764,article-journal
13765,article-journal
13766,article-journal
13767,article-journal
13768,article-journal
13769,article-journal
13770,article-journal
13771,article-journal
13772,article-journal
13773,article-journal
13774,article-journal
13775,article-journal
13776,article-journal
13777,article-journal
13778,article-journal
13779,article-journal
13780,article-journal
13781,article-journal
13782,article-journal
13783,article-journal
13784,article-journal
13785,article-journal
13786,article-journal
13787,article-journal
13788,article-journal
13789,article-journal
13790,article-journal
13791,article-journal
13792,article-journal
13793,article-journal
13794,article-journal
13795,article-journal
13796,article-journal
13797,article-journal
13798,article-journal
13799,article-journal
13800,article-journal
13801,article-journal
13802,article-journal
13803,article-journal
13804,article-journal
13805,article-journal
13806,article-journal
13807,article-journal
13808,article-journal
13809,article-journal
13810,article-journal
13811,article-journal
13812,article-journal
13813,article-journal
13814,article-journal
13815,article-journal
13816,article-journal
13817,article-journal
13818,article-journal
13819,article-journal
13820,article-journal
13821,article-journal
13822,article-journal
13823,article-journal
13824,article-journal
13825,article-journal
13826,article-journal
13827,article-journal
13828,article-journal
13829,article-journal
13830,article-journal
13831,article-journal
13832,article-journal
13833,article-journal
13834,article-journal
13835,article-journal
13836,article-journal
13837,article-journal
13838,article-journal
13839,article-journal
13840,article-journal
13841,article-journal
13842,article-journal
13843,article-journal
13844,article-journal
13845,article-journal
13846,article-journal
13847,article-journal
13848,article-journal
13849,article-journal
13850,article-journal
13851,article-journal
13852,article-journal
13853,article-journal
13854,article-journal
13855,article-journal
13856,article-journal
13857,article-journal
13858,article-journal
13859,article-journal
13860,article-journal
13861,article-journal
13862,article-journal
13863,article-journal
13864,article-journal
13865,article-journal
13866,article-journal
13867,article-journal
13868,article-journal
13869,article-journal
13870,article-journal
13871,article-journal
13872,article-journal
13873,article-journal
13874,article-journal
13875,article-journal
13876,article-journal
13877,article-journal
13878,article-journal
13879,article-journal
13880,article-journal
13881,article-journal
13882,article-journal
13883,article-journal
13884,article-journal
13885,article-journal
13886,article-journal
13887,article-journal
13888,article-journal
13889,article-journal
13890,article-journal
13891,article-journal
13892,article-journal
13893,article-journal
13894,article-journal
13895,article-journal
13896,article-journal
13897,article-journal
13898,article-journal
13899,article-journal
13900,article-journal
13901,article-journal
13902,article-journal
13903,article-journal
13904,article-journal
13905,article-journal
13906,article-journal
13907,article-journal
13908,article-journal
13909,article-journal
13910,article-journal
13911,article-journal
13912,article-journal
13913,article-journal
13914,article-journal
13915,article-journal
13916,article-journal
13917,article-journal
13918,article-journal
13919,article-journal
13920,article-journal
13921,article-journal
13922,article-journal
13923,article-journal
13924,article-journal
13925,article-journal
13926,article-journal
13927,article-journal
13928,article-journal
13929,article-journal
13930,article-journal
13931,article-journal
13932,article-journal
13933,article-journal
13934,article-journal
13935,article-journal
13936,article-journal
13937,article-journal
13938,article-journal
13939,article-journal
13940,article-journal
13941,article-journal
13942,article-journal
13943,article-journal
13944,article-journal
13945,article-journal
13946,article-journal
13947,article-journal
13948,article-journal
13949,article-journal
13950,article-journal
13951,article-journal
13952,article-journal
13953,article-journal
13954,article-journal
13955,article-journal
13956,article-journal
13957,article-journal
13958,article-journal
13959,article-journal
13960,article-journal
13961,article-journal
13962,article-journal
13963,article-journal
13964,article-journal
13965,article-journal
13966,article-journal
13967,article-journal
13968,article-journal
13969,article-journal
13970,article-journal
13971,article-journal
13972,article-journal
13973,article-journal
13974,article-journal
13975,article-journal
13976,article-journal
13977,article-journal
13978,article-journal
13979,article-journal
13980,article-journal
13981,article-journal
13982,article-journal
13983,article-journal
13984,article-journal
13985,article-journal
13986,article-journal
13987,article-journal
13988,article-journal
13989,article-journal
13990,article-journal
13991,article-journal
13992,article-journal
13993,article-journal
13994,article-journal
13995,article-journal
13996,article-journal
13997,article-journal
13998,article-journal
13999,article-journal
14000,article-journal
14001,article-journal
14002,article-journal
14003,article-journal
14004,article-journal
14005,article-journal
14006,article-journal
14007,article-journal
14008,article-journal
14009,article-journal
14010,article-journal
14011,article-journal
14012,article-journal
14013,article-journal
14014,article-journal
14015,article-journal
14016,article-journal
14017,article-journal
14018,article-journal
14019,article-journal
14020,article-journal
14021,article-journal
14022,article-journal
14023,article-journal
14024,article-journal
14025,article-journal
14026,article-journal
14027,article-journal
14028,article-journal
14029,article-journal
14030,article-journal
14031,article-journal
14032,article-journal
14033,article-journal
14034,article-journal
14035,article-journal
14036,article-journal
14037,article-journal
14038,article-journal
14039,article-journal
14040,article-journal
14041,article-journal
14042,article-journal
14043,article-journal
14044,article-journal
14045,article-journal
14046,article-journal
14047,article-journal
14048,article-journal
14049,article-journal
14050,article-journal
14051,article-journal
14052,article-journal
14053,article-journal
14054,article-journal
14055,article-journal
14056,article-journal
14057,article-journal
14058,article-journal
14059,article-journal
14060,article-journal
14061,article-journal
14062,article-journal
14063,article-journal
14064,article-journal
14065,article-journal
14066,article-journal
14067,article-journal
14068,article-journal
14069,article-journal
14070,article-journal
14071,article-journal
14072,article-journal
14073,article-journal
14074,article-journal
14075,article-journal
14076,article-journal
14077,article-journal
14078,article-journal
14079,article-journal
14080,article-journal
14081,article-journal
14082,article-journal
14083,article-journal
14084,article-journal
14085,article-journal
14086,article-journal
14087,article-journal
14088,article-journal
14089,article-journal
14090,article-journal
14091,article-journal
14092,article-journal
14093,article-journal
14094,article-journal
14095,article-journal
14096,article-journal
14097,article-journal
14098,article-journal
14099,article-journal
14100,article-journal
14101,article-journal
14102,article-journal
14103,article-journal
14104,article-journal
14105,article-journal
14106,article-journal
14107,article-journal
14108,article-journal
14109,article-journal
14110,article-journal
14111,article-journal
14112,article-journal
14113,article-journal
14114,article-journal
14115,article-journal
14116,article-journal
14117,article-journal
14118,article-journal
14119,article-journal
14120,article-journal
14121,article-journal
14122,article-journal
14123,article-journal
14124,article-journal
14125,article-journal
14126,article-journal
14127,article-journal
14128,article-journal
14129,article-journal
14130,article-journal
14131,article-journal
14132,article-journal
14133,article-journal
14134,article-journal
14135,article-journal
14136,article-journal
14137,article-journal
14138,article-journal
14139,article-journal
14140,article-journal
14141,article-journal
14142,article-journal
14143,article-journal
14144,article-journal
14145,article-journal
14146,article-journal
14147,article-journal
14148,article-journal
14149,article-journal
14150,article-journal
14151,article-journal
14152,article-journal
14153,article-journal
14154,article-journal
14155,article-journal
14156,article-journal
14157,article-journal
14158,article-journal
14159,article-journal
14160,article-journal
14161,article-journal
14162,article-journal
14163,article-journal
14164,article-journal
14165,article-journal
14166,article-journal
14167,article-journal
14168,article-journal
14169,article-journal
14170,article-journal
14171,article-journal
14172,article-journal
14173,article-journal
14174,article-journal
14175,article-journal
14176,article-journal
14177,article-journal
14178,article-journal
14179,article-journal
14180,article-journal
14181,article-journal
14182,article-journal
14183,article-journal
14184,article-journal
14185,article-journal
14186,article-journal
14187,article-journal
14188,article-journal
14189,article-journal
14190,article-journal
14191,article-journal
14192,article-journal
14193,article-journal
14194,article-journal
14195,article-journal
14196,article-journal
14197,article-journal
14198,article-journal
14199,article-journal
14200,article-journal
14201,article-journal
14202,article-journal
14203,article-journal
14204,article-journal
14205,article-journal
14206,article-journal
14207,article-journal
14208,article-journal
14209,article-journal
14210,article-journal
14211,article-journal
14212,article-journal
14213,article-journal
14214,article-journal
14215,article-journal
14216,article-journal
14217,article-journal
14218,article-journal
14219,article-journal
14220,article-journal
14221,article-journal
14222,article-journal
14223,article-journal
14224,article-journal
14225,article-journal
14226,article-journal
14227,article-journal
14228,article-journal
14229,article-journal
14230,article-journal
14231,article-journal
14232,article-journal
14233,article-journal
14234,article-journal
14235,article-journal
14236,article-journal
14237,article-journal
14238,article-journal
14239,article-journal
14240,article-journal
14241,article-journal
14242,article-journal
14243,article-journal
14244,article-journal
14245,article-journal
14246,article-journal
14247,article-journal
14248,article-journal
14249,article-journal
14250,article-journal
14251,article-journal
14252,article-journal
14253,article-journal
14254,article-journal
14255,article-journal
14256,article-journal
14257,article-journal
14258,article-journal
14259,article-journal
14260,article-journal
14261,article-journal
14262,article-journal
14263,article-journal
14264,article-journal
14265,article-journal
14266,article-journal
14267,article-journal
14268,article-journal
14269,article-journal
14270,article-journal
14271,article-journal
14272,article-journal
14273,article-journal
14274,article-journal
14275,article-journal
14276,article-journal
14277,article-journal
14278,article-journal
14279,article-journal
14280,article-journal
14281,article-journal
14282,article-journal
14283,article-journal
14284,article-journal
14285,article-journal
14286,article-journal
14287,article-journal
14288,article-journal
14289,article-journal
14290,article-journal
14291,article-journal
14292,article-journal
14293,article-journal
14294,article-journal
14295,article-journal
14296,article-journal
14297,article-journal
14298,article-journal
14299,article-journal
14300,article-journal
14301,article-journal
14302,article-journal
14303,article-journal
14304,article-journal
14305,article-journal
14306,article-journal
14307,article-journal
14308,article-journal
14309,article-journal
14310,article-journal
14311,article-journal
14312,article-journal
14313,article-journal
14314,article-journal
14315,article-journal
14316,article-journal
14317,article-journal
14318,article-journal
14319,article-journal
14320,article-journal
14321,article-journal
14322,article-journal
14323,article-journal
14324,article-journal
14325,article-journal
14326,article-journal
14327,article-journal
14328,article-journal
14329,article-journal
14330,article-journal
14331,article-journal
14332,article-journal
14333,article-journal
14334,article-journal
14335,article-journal
14336,article-journal
14337,article-journal
14338,article-journal
14339,article-journal
14340,article-journal
14341,article-journal
14342,article-journal
14343,article-journal
14344,article-journal
14345,article-journal
14346,article-journal
14347,article-journal
14348,article-journal
14349,article-journal
14350,article-journal
14351,article-journal
14352,article-journal
14353,article-journal
14354,article-journal
14355,article-journal
14356,article-journal
14357,article-journal
14358,article-journal
14359,article-journal
14360,article-journal
14361,article-journal
14362,article-journal
14363,article-journal
14364,article-journal
14365,article-journal
14366,article-journal
14367,article-journal
14368,article-journal
14369,article-journal
14370,article-journal
14371,article-journal
14372,article-journal
14373,article-journal
14374,article-journal
14375,article-journal
14376,article-journal
14377,article-journal
14378,article-journal
14379,article-journal
14380,article-journal
14381,article-journal
14382,article-journal
14383,article-journal
14384,article-journal
14385,article-journal
14386,article-journal
14387,article-journal
14388,article-journal
14389,article-journal
14390,article-journal
14391,article-journal
14392,article-journal
14393,article-journal
14394,article-journal
14395,article-journal
14396,article-journal
14397,article-journal
14398,article-journal
14399,article-journal
14400,article-journal
14401,article-journal
14402,article-journal
14403,article-journal
14404,article-journal
14405,article-journal
14406,article-journal
14407,article-journal
14408,article-journal
14409,article-journal
14410,article-journal
14411,article-journal
14412,article-journal
14413,article-journal
14414,article-journal
14415,article-journal
14416,article-journal
14417,article-journal
14418,article-journal
14419,article-journal
14420,article-journal
14421,article-journal
14422,article-journal
14423,article-journal
14424,article-journal
14425,article-journal
14426,article-journal
14427,article-journal
14428,article-journal
14429,article-journal
14430,article-journal
14431,article-journal
14432,article-journal
14433,article-journal
14434,article-journal
14435,article-journal
14436,article-journal
14437,article-journal
14438,article-journal
14439,article-journal
14440,article-journal
14441,article-journal
14442,article-journal
14443,article-journal
14444,article-journal
14445,article-journal
14446,article-journal
14447,article-journal
14448,article-journal
14449,article-journal
14450,article-journal
14451,article-journal
14452,article-journal
14453,article-journal
14454,article-journal
14455,article-journal
14456,article-journal
14457,article-journal
14458,article-journal
14459,article-journal
14460,article-journal
14461,article-journal
14462,article-journal
14463,article-journal
14464,article-journal
14465,article-journal
14466,article-journal
14467,article-journal
14468,article-journal
14469,article-journal
14470,article-journal
14471,article-journal
14472,article-journal
14473,article-journal
14474,article-journal
14475,article-journal
14476,article-journal
14477,article-journal
14478,article-journal
14479,article-journal
14480,article-journal
14481,article-journal
14482,article-journal
14483,article-journal
14484,article-journal
14485,article-journal
14486,article-journal
14487,article-journal
14488,article-journal
14489,article-journal
14490,article-journal
14491,article-journal
14492,article-journal
14493,article-journal
14494,article-journal
14495,article-journal
14496,article-journal
14497,article-journal
14498,article-journal
14499,article-journal
14500,article-journal
14501,article-journal
14502,article-journal
14503,article-journal
14504,article-journal
14505,article-journal
14506,article-journal
14507,article-journal
14508,article-journal
14509,article-journal
14510,article-journal
14511,article-journal
14512,article-journal
14513,article-journal
14514,article-journal
14515,article-journal
14516,article-journal
14517,article-journal
14518,article-journal
14519,article-journal
14520,article-journal
14521,article-journal
14522,article-journal
14523,article-journal
14524,article-journal
14525,article-journal
14526,article-journal
14527,article-journal
14528,article-journal
14529,article-journal
14530,article-journal
14531,article-journal
14532,article-journal
14533,article-journal
14534,article-journal
14535,article-journal
14536,article-journal
14537,article-journal
14538,article-journal
14539,article-journal
14540,article-journal
14541,article-journal
14542,article-journal
14543,article-journal
14544,article-journal
14545,article-journal
14546,article-journal
14547,article-journal
14548,article-journal
14549,article-journal
14550,article-journal
14551,article-journal
14552,article-journal
14553,article-journal
14554,article-journal
14555,article-journal
14556,article-journal
14557,article-journal
14558,article-journal
14559,article-journal
14560,article-journal
14561,article-journal
14562,article-journal
14563,article-journal
14564,article-journal
14565,article-journal
14566,article-journal
14567,article-journal
14568,article-journal
14569,article-journal
14570,article-journal
14571,article-journal
14572,article-journal
14573,article-journal
14574,article-journal
14575,article-journal
14576,article-journal
14577,article-journal
14578,article-journal
14579,article-journal
14580,article-journal
14581,article-journal
14582,article-journal
14583,article-journal
14584,article-journal
14585,article-journal
14586,article-journal
14587,article-journal
14588,article-journal
14589,article-journal
14590,article-journal
14591,article-journal
14592,article-journal
14593,article-journal
14594,article-journal
14595,article-journal
14596,article-journal
14597,article-journal
14598,article-journal
14599,article-journal
14600,article-journal
14601,article-journal
14602,article-journal
14603,article-journal
14604,article-journal
14605,article-journal
14606,article-journal
14607,article-journal
14608,article-journal
14609,article-journal
14610,article-journal
14611,article-journal
14612,article-journal
14613,article-journal
14614,article-journal
14615,article-journal
14616,article-journal
14617,article-journal
14618,article-journal
14619,article-journal
14620,article-journal
14621,article-journal
14622,article-journal
14623,article-journal
14624,article-journal
14625,article-journal
14626,article-journal
14627,article-journal
14628,article-journal
14629,article-journal
14630,article-journal
14631,article-journal
14632,article-journal
14633,article-journal
14634,article-journal
14635,article-journal
14636,article-journal
14637,article-journal
14638,article-journal
14639,article-journal
14640,article-journal
14641,article-journal
14642,article-journal
14643,article-journal
14644,article-journal
14645,article-journal
14646,article-journal
14647,article-journal
14648,article-journal
